2026-06-05 18:55:41 INFO research_news.llm.pipeline: score batch 25: parsed 8 scores
2026-06-05 18:55:41 INFO research_news.llm.pipeline: scoring batch 26/48 (8 papers) ...
2026-06-05 18:55:50 INFO research_news.llm.pipeline: score batch 26: parsed 8 scores
2026-06-05 18:55:50 INFO research_news.llm.pipeline: scoring batch 27/48 (8 papers) ...
2026-06-05 18:55:59 INFO research_news.llm.pipeline: score batch 27: parsed 8 scores
2026-06-05 18:55:59 INFO research_news.llm.pipeline: scoring batch 28/48 (8 papers) ...
2026-06-05 18:56:09 INFO research_news.llm.pipeline: score batch 28: parsed 8 scores
2026-06-05 18:56:09 INFO research_news.llm.pipeline: scoring batch 29/48 (8 papers) ...
2026-06-05 18:56:17 INFO research_news.llm.pipeline: score batch 29: parsed 8 scores
2026-06-05 18:56:17 INFO research_news.llm.pipeline: scoring batch 30/48 (8 papers) ...
2026-06-05 18:56:27 INFO research_news.llm.pipeline: score batch 30: parsed 8 scores
2026-06-05 18:56:27 INFO research_news.llm.pipeline: scoring batch 31/48 (8 papers) ...
2026-06-05 18:56:38 INFO research_news.llm.pipeline: score batch 31: parsed 8 scores
2026-06-05 18:56:38 INFO research_news.llm.pipeline: scoring batch 32/48 (8 papers) ...
2026-06-05 18:56:49 INFO research_news.llm.pipeline: score batch 32: parsed 8 scores
2026-06-05 18:56:49 INFO research_news.llm.pipeline: scoring batch 33/48 (8 papers) ...
2026-06-05 18:57:00 INFO research_news.llm.pipeline: score batch 33: parsed 8 scores
2026-06-05 18:57:00 INFO research_news.llm.pipeline: scoring batch 34/48 (8 papers) ...
2026-06-05 18:57:11 INFO research_news.llm.pipeline: score batch 34: parsed 8 scores
2026-06-05 18:57:11 INFO research_news.llm.pipeline: scoring batch 35/48 (8 papers) ...
2026-06-05 18:57:23 INFO research_news.llm.pipeline: score batch 35: parsed 8 scores
2026-06-05 18:57:23 INFO research_news.llm.pipeline: scoring batch 36/48 (8 papers) ...
2026-06-05 18:57:36 INFO research_news.llm.pipeline: score batch 36: parsed 8 scores
2026-06-05 18:57:36 INFO research_news.llm.pipeline: scoring batch 37/48 (8 papers) ...
2026-06-05 18:57:46 INFO research_news.llm.pipeline: score batch 37: parsed 8 scores
2026-06-05 18:57:46 INFO research_news.llm.pipeline: scoring batch 38/48 (8 papers) ...
2026-06-05 18:57:56 INFO research_news.llm.pipeline: score batch 38: parsed 8 scores
2026-06-05 18:57:56 INFO research_news.llm.pipeline: scoring batch 39/48 (8 papers) ...
2026-06-05 18:58:07 INFO research_news.llm.pipeline: score batch 39: parsed 8 scores
2026-06-05 18:58:07 INFO research_news.llm.pipeline: scoring batch 40/48 (8 papers) ...
2026-06-05 18:58:17 INFO research_news.llm.pipeline: score batch 40: parsed 8 scores
2026-06-05 18:58:17 INFO research_news.llm.pipeline: scoring batch 41/48 (8 papers) ...
2026-06-05 18:58:28 INFO research_news.llm.pipeline: score batch 41: parsed 8 scores
2026-06-05 18:58:28 INFO research_news.llm.pipeline: scoring batch 42/48 (8 papers) ...
2026-06-05 18:58:38 INFO research_news.llm.pipeline: score batch 42: parsed 8 scores
2026-06-05 18:58:38 INFO research_news.llm.pipeline: scoring batch 43/48 (8 papers) ...
2026-06-05 18:58:49 INFO research_news.llm.pipeline: score batch 43: parsed 8 scores
