2026-05-24 16:21:39 INFO research_news.llm.pipeline: score batch 28: parsed 8 scores
2026-05-24 16:21:39 INFO research_news.llm.pipeline: scoring batch 29/136 (8 papers) ...
2026-05-24 16:21:59 INFO research_news.llm.pipeline: score batch 29: parsed 8 scores
2026-05-24 16:21:59 INFO research_news.llm.pipeline: scoring batch 30/136 (8 papers) ...
2026-05-24 16:22:09 INFO research_news.llm.pipeline: score batch 30: parsed 8 scores
2026-05-24 16:22:09 INFO research_news.llm.pipeline: scoring batch 31/136 (8 papers) ...
2026-05-24 16:22:19 INFO research_news.llm.pipeline: score batch 31: parsed 8 scores
2026-05-24 16:22:19 INFO research_news.llm.pipeline: scoring batch 32/136 (8 papers) ...
2026-05-24 16:22:26 INFO research_news.llm.pipeline: score batch 32: parsed 8 scores
2026-05-24 16:22:26 INFO research_news.llm.pipeline: scoring batch 33/136 (8 papers) ...
2026-05-24 16:22:37 INFO research_news.llm.pipeline: score batch 33: parsed 8 scores
2026-05-24 16:22:37 INFO research_news.llm.pipeline: scoring batch 34/136 (8 papers) ...
2026-05-24 16:22:49 INFO research_news.llm.pipeline: score batch 34: parsed 8 scores
2026-05-24 16:22:49 INFO research_news.llm.pipeline: scoring batch 35/136 (8 papers) ...
2026-05-24 16:23:00 INFO research_news.llm.pipeline: score batch 35: parsed 8 scores
2026-05-24 16:23:00 INFO research_news.llm.pipeline: scoring batch 36/136 (8 papers) ...
2026-05-24 16:23:09 INFO research_news.llm.pipeline: score batch 36: parsed 8 scores
2026-05-24 16:23:09 INFO research_news.llm.pipeline: scoring batch 37/136 (8 papers) ...
2026-05-24 16:23:18 INFO research_news.llm.pipeline: score batch 37: parsed 8 scores
2026-05-24 16:23:18 INFO research_news.llm.pipeline: scoring batch 38/136 (8 papers) ...
2026-05-24 16:23:26 INFO research_news.llm.pipeline: score batch 38: parsed 8 scores
2026-05-24 16:23:26 INFO research_news.llm.pipeline: scoring batch 39/136 (8 papers) ...
2026-05-24 16:23:35 INFO research_news.llm.pipeline: score batch 39: parsed 8 scores
2026-05-24 16:23:35 INFO research_news.llm.pipeline: scoring batch 40/136 (8 papers) ...
2026-05-24 16:23:46 INFO research_news.llm.pipeline: score batch 40: parsed 8 scores
2026-05-24 16:23:46 INFO research_news.llm.pipeline: scoring batch 41/136 (8 papers) ...
2026-05-24 16:23:56 INFO research_news.llm.pipeline: score batch 41: parsed 8 scores
2026-05-24 16:23:56 INFO research_news.llm.pipeline: scoring batch 42/136 (8 papers) ...
2026-05-24 16:24:03 INFO research_news.llm.pipeline: score batch 42: parsed 8 scores
2026-05-24 16:24:03 INFO research_news.llm.pipeline: scoring batch 43/136 (8 papers) ...
2026-05-24 16:24:20 INFO research_news.llm.pipeline: score batch 43: parsed 8 scores
2026-05-24 16:24:20 INFO research_news.llm.pipeline: scoring batch 44/136 (8 papers) ...
2026-05-24 16:24:29 INFO research_news.llm.pipeline: score batch 44: parsed 8 scores
2026-05-24 16:24:29 INFO research_news.llm.pipeline: scoring batch 45/136 (8 papers) ...
2026-05-24 16:24:38 INFO research_news.llm.pipeline: score batch 45: parsed 8 scores
2026-05-24 16:24:38 INFO research_news.llm.pipeline: scoring batch 46/136 (8 papers) ...
2026-05-24 16:24:48 INFO research_news.llm.pipeline: score batch 46: parsed 8 scores
2026-05-24 16:24:48 INFO research_news.llm.pipeline: scoring batch 47/136 (8 papers) ...
2026-05-24 16:24:58 INFO research_news.llm.pipeline: score batch 47: parsed 8 scores
2026-05-24 16:24:58 INFO research_news.llm.pipeline: scoring batch 48/136 (8 papers) ...
2026-05-24 16:25:14 INFO research_news.llm.pipeline: score batch 48: parsed 8 scores
2026-05-24 16:25:14 INFO research_news.llm.pipeline: scoring batch 49/136 (8 papers) ...
2026-05-24 16:25:25 INFO research_news.llm.pipeline: score batch 49: parsed 8 scores
2026-05-24 16:25:25 INFO research_news.llm.pipeline: scoring batch 50/136 (8 papers) ...
2026-05-24 16:25:36 INFO research_news.llm.pipeline: score batch 50: parsed 8 scores
2026-05-24 16:25:36 INFO research_news.llm.pipeline: scoring batch 51/136 (8 papers) ...
2026-05-24 16:25:46 INFO research_news.llm.pipeline: score batch 51: parsed 8 scores
2026-05-24 16:25:46 INFO research_news.llm.pipeline: scoring batch 52/136 (8 papers) ...
2026-05-24 16:25:56 INFO research_news.llm.pipeline: score batch 52: parsed 8 scores
2026-05-24 16:25:56 INFO research_news.llm.pipeline: scoring batch 53/136 (8 papers) ...
2026-05-24 16:26:08 INFO research_news.llm.pipeline: score batch 53: parsed 8 scores
2026-05-24 16:26:08 INFO research_news.llm.pipeline: scoring batch 54/136 (8 papers) ...
2026-05-24 16:26:17 INFO research_news.llm.pipeline: score batch 54: parsed 8 scores
