2026-05-23 22:01:58 INFO research_news.journals: journals run: groups=['core', 'prob_stats', 'applied', 'econ', 'astro', 'epi', 'ieee'], only=['astro']
2026-05-23 22:21:49 INFO research_news.llm.pipeline: scoring batch 27/89 (8 papers) ...
2026-05-23 22:21:59 INFO research_news.llm.pipeline: score batch 27: parsed 8 scores
2026-05-23 22:21:59 INFO research_news.llm.pipeline: scoring batch 28/89 (8 papers) ...
2026-05-23 22:22:10 INFO research_news.llm.pipeline: score batch 28: parsed 8 scores
2026-05-23 22:22:10 INFO research_news.llm.pipeline: scoring batch 29/89 (8 papers) ...
2026-05-23 22:22:16 INFO research_news.llm.pipeline: score batch 29: parsed 8 scores
2026-05-23 22:22:16 INFO research_news.llm.pipeline: scoring batch 30/89 (8 papers) ...
2026-05-23 22:22:29 INFO research_news.llm.pipeline: score batch 30: parsed 8 scores
2026-05-23 22:22:29 INFO research_news.llm.pipeline: scoring batch 31/89 (8 papers) ...
2026-05-23 22:22:36 INFO research_news.llm.pipeline: score batch 31: parsed 8 scores
2026-05-23 22:22:36 INFO research_news.llm.pipeline: scoring batch 32/89 (8 papers) ...
2026-05-23 22:22:43 INFO research_news.llm.pipeline: score batch 32: parsed 8 scores
2026-05-23 22:22:43 INFO research_news.llm.pipeline: scoring batch 33/89 (8 papers) ...
2026-05-23 22:23:10 INFO research_news.llm.pipeline: score batch 33: parsed 8 scores
2026-05-23 22:23:10 INFO research_news.llm.pipeline: scoring batch 34/89 (8 papers) ...
2026-05-23 22:23:20 INFO research_news.llm.pipeline: score batch 34: parsed 8 scores
2026-05-23 22:23:20 INFO research_news.llm.pipeline: scoring batch 35/89 (8 papers) ...
2026-05-23 22:23:31 INFO research_news.llm.pipeline: score batch 35: parsed 8 scores
2026-05-23 22:23:31 INFO research_news.llm.pipeline: scoring batch 36/89 (8 papers) ...
2026-05-23 22:23:38 INFO research_news.llm.pipeline: score batch 36: parsed 8 scores
2026-05-23 22:23:38 INFO research_news.llm.pipeline: scoring batch 37/89 (8 papers) ...
2026-05-23 22:23:49 INFO research_news.llm.pipeline: score batch 37: parsed 8 scores
2026-05-23 22:23:49 INFO research_news.llm.pipeline: scoring batch 38/89 (8 papers) ...
2026-05-23 22:24:03 INFO research_news.llm.pipeline: score batch 38: parsed 8 scores
2026-05-23 22:24:03 INFO research_news.llm.pipeline: scoring batch 39/89 (8 papers) ...
2026-05-23 22:24:14 INFO research_news.llm.pipeline: score batch 39: parsed 8 scores
2026-05-23 22:24:14 INFO research_news.llm.pipeline: scoring batch 40/89 (8 papers) ...
2026-05-23 22:28:12 INFO research_news.llm.pipeline: score batch 40: parsed 8 scores
2026-05-23 22:28:12 INFO research_news.llm.pipeline: scoring batch 41/89 (8 papers) ...
2026-05-23 22:28:24 INFO research_news.llm.pipeline: score batch 41: parsed 8 scores
2026-05-23 22:28:24 INFO research_news.llm.pipeline: scoring batch 42/89 (8 papers) ...
2026-05-23 22:28:34 INFO research_news.llm.pipeline: score batch 42: parsed 8 scores
2026-05-23 22:28:34 INFO research_news.llm.pipeline: scoring batch 43/89 (8 papers) ...
2026-05-23 22:28:45 INFO research_news.llm.pipeline: score batch 43: parsed 8 scores
2026-05-23 22:28:45 INFO research_news.llm.pipeline: scoring batch 44/89 (8 papers) ...
2026-05-23 22:28:58 INFO research_news.llm.pipeline: score batch 44: parsed 8 scores
2026-05-23 22:28:58 INFO research_news.llm.pipeline: scoring batch 45/89 (8 papers) ...
2026-05-23 22:29:10 INFO research_news.llm.pipeline: score batch 45: parsed 8 scores
2026-05-23 22:29:10 INFO research_news.llm.pipeline: scoring batch 46/89 (8 papers) ...
2026-05-23 22:29:17 INFO research_news.llm.pipeline: score batch 46: parsed 8 scores
2026-05-23 22:29:17 INFO research_news.llm.pipeline: scoring batch 47/89 (8 papers) ...
